Entry Time,Ticker,Net PnL,Return %,Reason
2025-10-01,O:SEED_DATA,500,0.4,TARGET
2025-10-02,O:SEED_DATA,450,0.4,TARGET
2025-10-03,O:SEED_DATA,-100,0.35,TARGET
2025-10-04,O:SEED_DATA,450,-0.2,TARGET
2025-10-05,O:SEED_DATA,450,0.4,TARGET
2025-10-06,O:SEED_DATA,500,-0.2,TARGET
2025-10-07,O:SEED_DATA,500,0.35,TARGET
2025-10-08,O:SEED_DATA,500,0.35,TARGET
2025-10-09,O:SEED_DATA,450,0.4,TARGET
2025-10-10,O:SEED_DATA,450,0.4,TARGET
2025-10-11,O:SEED_DATA,450,-0.2,TARGET
2025-10-12,O:SEED_DATA,500,0.35,TARGET
2025-10-13,O:SEED_DATA,450,0.4,TARGET
2025-10-14,O:SEED_DATA,500,0.35,TARGET
2025-10-15,O:SEED_DATA,500,0.35,TARGET
2025-10-16,O:SEED_DATA,450,0.4,TARGET
2025-10-17,O:SEED_DATA,-50,0.4,TARGET
2025-10-18,O:SEED_DATA,500,0.4,TARGET
2025-10-19,O:SEED_DATA,-50,0.4,TARGET
2025-10-20,O:SEED_DATA,500,0.5,TARGET
2025-10-21,O:SEED_DATA,500,0.4,TARGET
2025-10-22,O:SEED_DATA,500,0.5,TARGET
2025-10-23,O:SEED_DATA,500,0.5,TARGET
2025-10-24,O:SEED_DATA,500,0.4,TARGET
2025-10-25,O:SEED_DATA,450,-0.2,TARGET
2025-10-26,O:SEED_DATA,450,0.4,TARGET
2025-10-27,O:SEED_DATA,500,0.35,TARGET
2025-10-28,O:SEED_DATA,500,0.5,TARGET
2025-10-29,O:SEED_DATA,500,0.4,TARGET
2025-10-30,O:SEED_DATA,450,0.35,TARGET
2025-10-31,O:SEED_DATA,450,0.35,TARGET
2025-11-01,O:SEED_DATA,500,0.5,TARGET
2025-11-02,O:SEED_DATA,500,0.4,TARGET
2025-11-03,O:SEED_DATA,500,-0.1,TARGET
2025-11-04,O:SEED_DATA,450,0.4,TARGET
2025-11-05,O:SEED_DATA,450,0.35,TARGET
2025-11-06,O:SEED_DATA,-50,-0.2,TARGET
2025-11-07,O:SEED_DATA,500,0.4,TARGET
2025-11-08,O:SEED_DATA,-100,0.4,TARGET
2025-11-09,O:SEED_DATA,500,0.4,TARGET
2025-11-10,O:SEED_DATA,500,0.35,TARGET
2025-11-11,O:SEED_DATA,500,0.35,TARGET
2025-11-12,O:SEED_DATA,-50,0.4,TARGET
2025-11-13,O:SEED_DATA,500,-0.1,TARGET
2025-11-14,O:SEED_DATA,500,0.35,TARGET
2025-11-15,O:SEED_DATA,-50,0.4,STOP
2025-11-16,O:SEED_DATA,500,0.4,STOP
2025-11-17,O:SEED_DATA,-100,0.4,STOP
2025-11-18,O:SEED_DATA,500,-0.2,STOP
2025-11-19,O:SEED_DATA,500,0.4,STOP
