source_id,entry_time_utc,action,root,strike,option_right,expiry_date,quantity,fill_price,net_pnl,fees,status,opra_code
HTML_4251487456234176843,2025-02-21 14:31:00,BUY,XSP,610.0,P,2025-02-21,5.0,0.82,-412.7,0.2,FILLED,O:XSP250221P00610000
HTML_2541489565300383930,2025-02-21 14:33:00,BUY,XSP,612.0,C,2025-02-21,4.0,0.9,-358.16,0.16,FILLED,O:XSP250221C00612000
HTML_5387408915401034323,2025-02-21 14:34:00,BUY,XSP,612.0,C,2025-02-21,1.0,0.83,-83.54,0.04,FILLED,O:XSP250221C00612000
HTML_991115502314765606,2025-02-21 14:40:00,SELL,XSP,612.0,C,2025-02-21,5.0,0.68,340.0,0.2,FILLED,O:XSP250221C00612000
HTML_4333722171785789138,2025-02-21 14:40:00,SELL,XSP,610.0,P,2025-02-21,5.0,1.07,535.0,0.2,FILLED,O:XSP250221P00610000
HTML_4325576434885042541,2025-02-24 14:31:00,BUY,XSP,605.0,C,2025-02-24,9.0,0.94,-841.86,0.36,FILLED,O:XSP250224C00605000
HTML_1849103111009658985,2025-02-24 14:33:00,BUY,XSP,603.0,P,2025-02-24,7.0,1.17,-815.78,0.28,FILLED,O:XSP250224P00603000
HTML_8966262863860865218,2025-02-24 14:41:00,BUY,XSP,605.0,C,2025-02-24,1.0,0.62,-62.54,0.04,FILLED,O:XSP250224C00605000
HTML_6641846112835200508,2025-02-24 14:45:00,SELL,XSP,603.0,P,2025-02-24,7.0,1.84,1288.0,0.28,FILLED,O:XSP250224P00603000
HTML_4919531766041803666,2025-02-24 15:02:00,SELL,XSP,605.0,C,2025-02-24,0.0,0.16,0.0,0.0,CANCELED,O:XSP250224C00605000
HTML_3048355465957495637,2025-02-24 15:04:00,SELL,XSP,605.0,C,2025-02-24,9.0,0.13,117.0,0.13,FILLED,O:XSP250224C00605000
HTML_6980432224706144118,2025-02-24 15:11:00,BUY,XSP,603.0,C,2025-02-24,1.0,0.48,-48.54,0.04,FILLED,O:XSP250224C00603000
HTML_4527249164195970255,2025-02-24 15:21:00,SELL,XSP,603.0,C,2025-02-24,1.0,0.5,50.0,0.04,FILLED,O:XSP250224C00603000
HTML_6866487226505777979,2025-02-25 14:32:00,BUY,XSP,598.0,C,2025-02-25,3.0,2.08,-622.62,0.12,FILLED,O:XSP250225C00598000
HTML_1426897583252477612,2025-02-25 14:32:00,BUY,XSP,600.0,P,2025-02-25,3.0,2.52,-757.62,0.12,FILLED,O:XSP250225P00600000
HTML_815023609316388156,2025-02-25 14:51:00,SELL,XSP,600.0,P,2025-02-25,3.0,4.0,1200.0,0.12,FILLED,O:XSP250225P00600000
HTML_4268632407077160720,2025-02-25 14:51:00,SELL,XSP,598.0,C,2025-02-25,3.0,1.3,390.0,0.12,FILLED,O:XSP250225C00598000
HTML_2831641472776308418,2025-02-26 14:30:00,BUY,XSP,596.0,P,2025-02-26,5.0,1.58,-792.7,0.2,FILLED,O:XSP250226P00596000
HTML_6620891733417036845,2025-02-26 14:33:00,BUY,XSP,598.0,C,2025-02-26,7.0,1.11,-780.78,0.28,FILLED,O:XSP250226C00598000
HTML_1259741160955312872,2025-02-26 14:35:00,BUY,XSP,594.0,P,2025-02-26,1.0,0.88,-87.54,0.04,FILLED,O:XSP250226P00594000
HTML_9017410309491386504,2025-02-26 15:00:00,SELL,XSP,598.0,C,2025-02-26,7.0,2.22,1554.0,0.28,FILLED,O:XSP250226C00598000
HTML_1531949676807766331,2025-02-26 15:01:00,SELL,XSP,594.0,P,2025-02-26,1.0,0.23,23.0,0.04,FILLED,O:XSP250226P00594000
HTML_2352755664973104245,2025-02-26 15:01:00,SELL,XSP,596.0,P,2025-02-26,5.0,0.52,260.0,0.2,FILLED,O:XSP250226P00596000
HTML_3037829765951015091,2025-02-27 14:31:00,BUY,XSP,597.0,P,2025-02-27,5.0,1.64,-817.7,0.2,FILLED,O:XSP250227P00597000
HTML_8787912060833590716,2025-02-27 14:33:00,BUY,XSP,600.0,C,2025-02-27,7.0,1.18,-822.78,0.28,FILLED,O:XSP250227C00600000
HTML_1173378322077937964,2025-02-27 14:35:00,BUY,XSP,601.0,C,2025-02-27,1.0,0.88,-87.54,0.04,FILLED,O:XSP250227C00601000
HTML_5168297382398965696,2025-02-27 14:56:00,SELL,XSP,597.0,P,2025-02-27,5.0,3.6,1800.0,0.2,FILLED,O:XSP250227P00597000
HTML_1320990194759662268,2025-02-27 14:56:00,SELL,XSP,601.0,C,2025-02-27,1.0,0.19,19.0,0.04,FILLED,O:XSP250227C00601000
HTML_6460568267520792234,2025-02-27 14:57:00,SELL,XSP,600.0,C,2025-02-27,4.0,0.32,128.0,0.16,FILLED,O:XSP250227C00600000
HTML_2465908389722546131,2025-02-27 14:57:00,SELL,XSP,600.0,C,2025-02-27,3.0,0.32,96.0,0.12,FILLED,O:XSP250227C00600000
HTML_5411237644266454428,2025-02-28 14:32:00,BUY,XSP,587.0,C,2025-02-28,5.0,2.04,-1022.7,0.2,FILLED,O:XSP250228C00587000
HTML_462931252585570139,2025-02-28 14:32:00,BUY,XSP,584.0,P,2025-02-28,5.0,1.99,-992.7,0.2,FILLED,O:XSP250228P00584000
HTML_8777410889041376238,2025-02-28 16:01:00,SELL,XSP,584.0,P,2025-02-28,5.0,0.27,135.0,0.2,FILLED,O:XSP250228P00584000
HTML_511974591832054520,2025-02-28 16:02:00,SELL,XSP,587.0,C,2025-02-28,5.0,3.83,1915.0,0.2,FILLED,O:XSP250228C00587000
HTML_9009923286723665627,2025-03-03 14:34:00,BUY,XSP,597.0,P,2025-03-03,10.0,1.55,-1556.1,1.1,FILLED,O:XSP250303P00597000
HTML_877419940229809682,2025-03-03 14:34:00,BUY,XSP,599.0,C,2025-03-03,10.0,1.53,-1535.4,0.4,FILLED,O:XSP250303C00599000
HTML_6422415999339713651,2025-03-03 14:59:00,SELL,XSP,597.0,P,2025-03-03,10.0,3.59,3590.0,1.1,FILLED,O:XSP250303P00597000
HTML_5016431101412030413,2025-03-03 15:00:00,SELL,XSP,599.0,C,2025-03-03,10.0,0.31,310.0,0.27,FILLED,O:XSP250303C00599000
HTML_6499310933062679907,2025-03-04 14:34:00,BUY,XSP,581.0,C,2025-03-04,6.0,2.46,-1479.24,0.24,FILLED,O:XSP250304C00581000
HTML_1864910174857567497,2025-03-04 14:35:00,BUY,XSP,578.0,P,2025-03-04,6.0,2.25,-1353.24,0.24,FILLED,O:XSP250304P00578000
HTML_8981776098890950439,2025-03-04 15:01:00,SELL,XSP,581.0,C,2025-03-04,6.0,1.2,720.0,0.24,FILLED,O:XSP250304C00581000
HTML_4412240968897690868,2025-03-04 15:02:00,SELL,XSP,578.0,P,2025-03-04,6.0,3.95,2370.0,0.24,FILLED,O:XSP250304P00578000
HTML_2103589784874348944,2025-03-05 14:33:00,BUY,XSP,577.0,P,2025-03-05,6.0,2.83,-1695.24,0.24,FILLED,O:XSP250305P00577000
HTML_1298576222564327281,2025-03-05 14:34:00,BUY,XSP,580.0,C,2025-03-05,6.0,2.44,-1461.24,0.24,FILLED,O:XSP250305C00580000
HTML_2483733302746271116,2025-03-05 18:19:00,SELL,XSP,580.0,C,2025-03-05,6.0,2.27,1362.0,0.24,FILLED,O:XSP250305C00580000
HTML_4105407574210061772,2025-03-05 18:20:00,SELL,XSP,577.0,P,2025-03-05,6.0,0.77,462.0,0.24,FILLED,O:XSP250305P00577000
HTML_7813920683344662265,2025-03-06 14:31:00,BUY,XSP,576.0,P,2025-03-06,3.0,2.6,-781.62,0.12,FILLED,O:XSP250306P00576000
HTML_5198750847339635515,2025-03-06 14:31:00,BUY,XSP,579.0,C,2025-03-06,5.0,1.81,-907.7,0.2,FILLED,O:XSP250306C00579000
HTML_237342828103572438,2025-03-06 14:36:00,BUY,XSP,578.0,C,2025-03-06,1.0,1.92,-191.54,0.04,FILLED,O:XSP250306C00578000
HTML_3471924399650785525,2025-03-06 14:36:00,SELL,XSP,576.0,P,2025-03-06,1.0,3.29,329.0,0.04,FILLED,O:XSP250306P00576000
HTML_3664976289198182233,2025-03-06 14:36:00,SELL,XSP,576.0,P,2025-03-06,2.0,3.23,646.0,0.08,FILLED,O:XSP250306P00576000
HTML_1960597138912821061,2025-03-06 15:16:00,SELL,XSP,579.0,C,2025-03-06,5.0,2.6,1300.0,0.2,FILLED,O:XSP250306C00579000
HTML_5886537347437159376,2025-03-06 15:17:00,SELL,XSP,578.0,C,2025-03-06,1.0,3.12,312.0,0.04,FILLED,O:XSP250306C00578000
HTML_140558292034219817,2025-03-07 14:46:00,BUY,XSP,573.0,P,2025-03-07,5.0,2.23,-1117.7,0.2,FILLED,O:XSP250307P00573000
HTML_6724004488448541362,2025-03-07 14:46:00,BUY,XSP,577.0,C,2025-03-07,4.0,2.48,-994.16,0.16,FILLED,O:XSP250307C00577000
HTML_2731056713834548459,2025-03-07 14:52:00,BUY,XSP,573.0,P,2025-03-07,1.0,1.77,-177.54,0.04,FILLED,O:XSP250307P00573000
HTML_2736095354511920811,2025-03-07 14:54:00,SELL,XSP,577.0,C,2025-03-07,4.0,3.02,1208.0,0.16,FILLED,O:XSP250307C00577000
HTML_6378560774339666621,2025-03-07 15:14:00,SELL,XSP,573.0,P,2025-03-07,6.0,2.45,1470.0,0.24,FILLED,O:XSP250307P00573000
HTML_780217212262335386,2025-03-10 13:37:00,BUY,XSP,567.0,P,2025-03-10,7.0,2.58,-1802.78,0.28,FILLED,O:XSP250310P00567000
HTML_6425628155273693999,2025-03-10 13:38:00,BUY,XSP,570.0,C,2025-03-10,7.0,2.62,-1837.78,0.28,FILLED,O:XSP250310C00570000
HTML_3511201221948370395,2025-03-10 14:01:00,SELL,XSP,567.0,P,2025-03-10,7.0,2.75,1925.0,0.28,FILLED,O:XSP250310P00567000
HTML_1880566366098519691,2025-03-10 14:02:00,BUY,XSP,574.0,C,2025-03-10,1.0,0.69,-69.54,0.04,FILLED,O:XSP250310C00574000
HTML_8421727967476954112,2025-03-11 13:30:00,BUY,XSP,562.0,C,2025-03-11,3.0,2.77,-832.62,0.12,FILLED,O:XSP250311C00562000
HTML_4596165797420619049,2025-03-11 13:31:00,BUY,XSP,559.0,P,2025-03-11,3.0,2.52,-757.62,0.12,FILLED,O:XSP250311P00559000
HTML_4893346471288104005,2025-03-11 13:39:00,BUY,XSP,556.0,P,2025-03-11,1.0,1.58,-158.54,0.04,FILLED,O:XSP250311P00556000
HTML_5866870248783759920,2025-03-11 14:38:00,SELL,XSP,559.0,P,2025-03-11,3.0,4.76,1428.0,0.12,FILLED,O:XSP250311P00559000
HTML_6538458693095992472,2025-03-11 14:39:00,SELL,XSP,556.0,P,2025-03-11,1.0,3.04,304.0,0.04,FILLED,O:XSP250311P00556000
HTML_290838724105039341,2025-03-11 14:39:00,SELL,XSP,562.0,C,2025-03-11,3.0,0.7,210.0,0.12,FILLED,O:XSP250311C00562000
HTML_7868389539440309880,2025-03-12 13:31:00,BUY,XSP,565.0,C,2025-03-12,4.0,2.33,-934.16,0.16,FILLED,O:XSP250312C00565000
HTML_2829288857886527138,2025-03-12 13:34:00,BUY,XSP,562.0,P,2025-03-12,4.0,2.31,-922.16,0.16,FILLED,O:XSP250312P00562000
HTML_4969864989547040872,2025-03-12 13:56:00,SELL,XSP,562.0,P,2025-03-12,4.0,4.25,1700.0,0.16,FILLED,O:XSP250312P00562000
HTML_4235178940127832631,2025-03-12 13:57:00,SELL,XSP,565.0,C,2025-03-12,4.0,0.96,384.0,0.16,FILLED,O:XSP250312C00565000
HTML_4495032107341917656,2025-03-13 13:30:00,BUY,XSP,557.0,P,2025-03-13,5.0,2.12,-1062.7,0.2,FILLED,O:XSP250313P00557000
HTML_2809813116804230930,2025-03-13 13:31:00,BUY,XSP,560.0,C,2025-03-13,4.0,2.12,-846.16,0.16,FILLED,O:XSP250313C00560000
HTML_3779279112732046295,2025-03-13 13:32:00,BUY,XSP,562.0,C,2025-03-13,1.0,1.44,-143.54,0.04,FILLED,O:XSP250313C00562000
HTML_5647961145339308652,2025-03-13 15:40:00,SELL,XSP,557.0,P,2025-03-13,5.0,4.26,2130.0,0.2,FILLED,O:XSP250313P00557000
HTML_8398856412338986095,2025-03-13 15:40:00,SELL,XSP,562.0,C,2025-03-13,1.0,0.17,17.0,0.04,FILLED,O:XSP250313C00562000
HTML_2396162145739455260,2025-03-13 15:40:00,SELL,XSP,560.0,C,2025-03-13,4.0,0.31,124.0,0.16,FILLED,O:XSP250313C00560000
HTML_121495589280569245,2025-03-14 13:32:00,BUY,XSP,556.0,P,2025-03-14,5.0,2.29,-1142.7,0.2,FILLED,O:XSP250314P00556000
HTML_6370141642503974621,2025-03-14 13:34:00,BUY,XSP,559.0,C,2025-03-14,5.0,1.77,-887.7,0.2,FILLED,O:XSP250314C00559000
HTML_419813832351765896,2025-03-14 13:35:00,BUY,XSP,559.0,C,2025-03-14,1.0,1.76,-176.54,0.04,FILLED,O:XSP250314C00559000
